sexo,empleo,nivel_sueldo,rango_edad,valor
2,0,0,15-19 | 20-29,12297469
2,0,0,15-19 | 30-39,13279549
2,0,0,15-19 | 40-49,14121037
2,0,0,15-19 | 50-59,15296377
2,0,0,15-19 | >60,20752122
2,0,0,20-29 | 20-29,4376545
2,0,0,20-29 | 30-39,5358625
2,0,0,20-29 | 40-49,6200113
2,0,0,20-29 | 50-59,7375453
2,0,0,20-29 | >60,12831198
2,0,0,30-39 | 30-39,982080
2,0,0,30-39 | 40-49,1823568
2,0,0,30-39 | 50-59,2998908
2,0,0,30-39 | >60,8454653
2,0,0,40-49 | 40-49,841488
2,0,0,40-49 | 50-59,2016828
2,0,0,40-49 | >60,7472573
2,0,0,50-59 | 50-59,1175340
2,0,0,50-59 | >60,6631085
2,0,0,>60 | >60,5455745
,,,,.
,,,,.
2,1,0,15-19 | 15-19,525862
2,1,0,15-19 | 20-29,1019511
2,1,0,15-19 | 30-39,1139078
2,1,0,15-19 | 40-49,1228226
2,1,0,15-19 | 50-59,1281599
2,1,0,15-19 | >60,1373151
2,1,0,20-29 | 20-29,493649
2,1,0,20-29 | 30-39,613216
2,1,0,20-29 | 40-49,702364
2,1,0,20-29 | 50-59,755737
2,1,0,20-29 | >60,847289
2,1,0,30-39 | 30-39,119567
2,1,0,30-39 | 40-49,208715
2,1,0,30-39 | 50-59,262088
2,1,0,30-39 | >60,353640
2,1,0,40-49 | 40-49,89148
2,1,0,40-49 | 50-59,142521
2,1,0,40-49 | >60,234073
2,1,0,50-59 | 50-59,53373
2,1,0,50-59 | >60,144925
2,1,0,>60 | >60,91552
,,,,.
2,1,1,15-19 | 15-19,1668386
2,1,1,15-19 | 20-29,4849577
2,1,1,15-19 | 30-39,6996307
2,1,1,15-19 | 40-49,8494637
2,1,1,15-19 | 50-59,9843284
2,1,1,15-19 | >60,11120810
2,1,1,20-29 | 20-29,3181191
2,1,1,20-29 | 30-39,5327921
2,1,1,20-29 | 40-49,6826251
2,1,1,20-29 | 50-59,8174898
2,1,1,20-29 | >60,9452424
2,1,1,30-39 | 30-39,2146730
2,1,1,30-39 | 40-49,3645060
2,1,1,30-39 | 50-59,4993707
2,1,1,30-39 | >60,6271233
2,1,1,40-49 | 40-49,1498330
2,1,1,40-49 | 50-59,2846977
2,1,1,40-49 | >60,4124503
2,1,1,50-59 | 50-59,1348647
2,1,1,50-59 | >60,2626173
2,1,1,>60 | >60,1277526
,,,,.
2,1,2,15-19 | 15-19,658276
2,1,2,15-19 | 20-29,3669923
2,1,2,15-19 | 30-39,5443237
2,1,2,15-19 | 40-49,6696255
2,1,2,15-19 | 50-59,7594029
2,1,2,15-19 | >60,8060354
2,1,2,20-29 | 20-29,3011647
2,1,2,20-29 | 30-39,4784961
2,1,2,20-29 | 40-49,6037979
2,1,2,20-29 | 50-59,6935753
2,1,2,20-29 | >60,7402078
2,1,2,30-39 | 30-39,1773314
2,1,2,30-39 | 40-49,3026332
2,1,2,30-39 | 50-59,3924106
2,1,2,30-39 | >60,4390431
2,1,2,40-49 | 40-49,1253018
2,1,2,40-49 | 50-59,2150792
2,1,2,40-49 | >60,2617117
2,1,2,50-59 | 50-59,897774
2,1,2,50-59 | >60,1364099
2,1,2,>60 | >60,466325
,,,,.
2,1,3,15-19 | 15-19,35744
2,1,3,15-19 | 20-29,582238
2,1,3,15-19 | 30-39,1031069
